Season,Position,Team,TotalPoints,GamesPlayed,AvgPoints,points_home,points_away,games_home,games_away
1994,1,Man United,32.5,42,0.774,17.0,15.5,21,21
1994,2,Blackburn,29.5,42,0.702,16.5,13.0,21,21
1994,3,Newcastle,27.0,42,0.643,16.0,11.0,21,21
1994,4,Arsenal,26.5,42,0.631,14.0,12.5,21,21
1994,5,Leeds,26.0,42,0.619,16.0,10.0,21,21
1994,6,Sheffield Weds,24.0,42,0.571,13.5,10.5,21,21
1994,7,Wimbledon,23.5,42,0.56,14.5,9.0,21,21
1994,8,QPR,22.0,42,0.524,11.5,10.5,21,21
1994,9,Liverpool,21.5,42,0.512,14.0,7.5,21,21
1994,10,Aston Villa,21.0,42,0.5,10.5,10.5,21,21
1994,11,Coventry,21.0,42,0.5,12.5,8.5,21,21
1994,12,Norwich,20.5,42,0.488,8.5,12.0,21,21
1994,13,West Ham,19.5,42,0.464,9.5,10.0,21,21
1994,14,Chelsea,19.0,42,0.452,13.5,5.5,21,21
1994,15,Man City,18.0,42,0.429,11.0,7.0,21,21
1994,16,Ipswich,17.0,42,0.405,9.0,8.0,21,21
1994,17,Sheffield United,17.0,42,0.405,11.0,6.0,21,21
1994,18,Tottenham,17.0,42,0.405,8.0,9.0,21,21
1994,19,Everton,16.0,42,0.381,10.0,6.0,21,21
1994,20,Oldham,15.5,42,0.369,9.0,6.5,21,21
1994,21,Southampton,15.5,42,0.369,10.0,5.5,21,21
1994,22,Swindon,12.5,42,0.298,7.5,5.0,21,21
1995,1,Blackburn,31.0,42,0.738,18.0,13.0,21,21
1995,2,Man United,31.0,42,0.738,18.0,13.0,21,21
1995,3,Nott'm Forest,27.5,42,0.655,15.0,12.5,21,21
1995,4,Leeds,26.5,42,0.631,15.5,11.0,21,21
1995,5,Liverpool,26.5,42,0.631,15.5,11.0,21,21
1995,6,Newcastle,26.0,42,0.619,17.0,9.0,21,21
1995,7,Tottenham,23.0,42,0.548,12.5,10.5,21,21
1995,8,QPR,21.5,42,0.512,12.5,9.0,21,21
1995,9,Southampton,21.0,42,0.5,12.5,8.5,21,21
1995,10,Chelsea,20.5,42,0.488,10.5,10.0,21,21
1995,11,Wimbledon,20.5,42,0.488,11.5,9.0,21,21
1995,12,Everton,19.5,42,0.464,12.5,7.0,21,21
1995,13,Arsenal,19.0,42,0.452,10.5,8.5,21,21
1995,14,Coventry,19.0,42,0.452,10.5,8.5,21,21
1995,15,Sheffield Weds,19.0,42,0.452,10.5,8.5,21,21
1995,16,Aston Villa,18.5,42,0.44,10.5,8.0,21,21
1995,17,Man City,18.5,42,0.44,11.5,7.0,21,21
1995,18,West Ham,18.5,42,0.44,12.0,6.5,21,21
1995,19,Crystal Palace,17.0,42,0.405,9.0,8.0,21,21
1995,20,Norwich,16.5,42,0.393,12.0,4.5,21,21
1995,21,Leicester,11.5,42,0.274,8.0,3.5,21,21
1995,22,Ipswich,10.0,42,0.238,6.5,3.5,21,21
1996,1,Man United,28.5,38,0.75,17.0,11.5,19,19
1996,2,Newcastle,27.0,38,0.711,17.5,9.5,19,19
1996,3,Liverpool,25.5,38,0.671,16.0,9.5,19,19
1996,4,Arsenal,23.0,38,0.605,13.5,9.5,19,19
1996,5,Aston Villa,22.5,38,0.592,13.5,9.0,19,19
1996,6,Tottenham,22.5,38,0.592,11.5,11.0,19,19
1996,7,Everton,22.0,38,0.579,12.5,9.5,19,19
1996,8,Blackburn,21.5,38,0.566,15.0,6.5,19,19
1996,9,Nott'm Forest,21.5,38,0.566,14.0,7.5,19,19
1996,10,Chelsea,19.0,38,0.5,10.5,8.5,19,19
1996,11,West Ham,18.5,38,0.487,11.5,7.0,19,19
1996,12,Middlesbrough,16.0,38,0.421,9.5,6.5,19,19
1996,13,Leeds,15.5,38,0.408,9.5,6.0,19,19
1996,14,Wimbledon,15.5,38,0.408,8.0,7.5,19,19
1996,15,Coventry,15.0,38,0.395,9.5,5.5,19,19
1996,16,Sheffield Weds,15.0,38,0.395,9.5,5.5,19,19
1996,17,Man City,14.5,38,0.382,10.5,4.0,19,19
1996,18,Southampton,14.5,38,0.382,10.5,4.0,19,19
1996,19,QPR,12.0,38,0.316,8.5,3.5,19,19
