Season,Div,Date,Season_Div,HomeTeam,AwayTeam,FTHG,FTAG,FTR
1994,E0,1993-08-14,1994_E0,Arsenal,Coventry,0.0,3.0,A
1994,E0,1993-08-14,1994_E0,Aston Villa,QPR,4.0,1.0,H
1994,E0,1993-08-14,1994_E0,Chelsea,Blackburn,1.0,2.0,A
1994,E0,1993-08-14,1994_E0,Liverpool,Sheffield Weds,2.0,0.0,H
1994,E0,1993-08-14,1994_E0,Man City,Leeds,1.0,1.0,D
1994,E0,1993-08-14,1994_E0,Newcastle,Tottenham,0.0,1.0,A
1994,E0,1993-08-14,1994_E0,Oldham,Ipswich,0.0,3.0,A
1994,E0,1993-08-14,1994_E0,Sheffield United,Swindon,3.0,1.0,H
1994,E0,1993-08-14,1994_E0,Southampton,Everton,0.0,2.0,A
1994,E0,1993-08-14,1994_E0,West Ham,Wimbledon,0.0,2.0,A
1994,E0,1993-08-15,1994_E0,Norwich,Man United,0.0,2.0,A
1994,E0,1993-08-16,1994_E0,Tottenham,Arsenal,0.0,1.0,A
1994,E0,1993-08-17,1994_E0,Wimbledon,Chelsea,1.0,1.0,D
1994,E0,1993-08-17,1994_E0,Leeds,West Ham,1.0,0.0,H
1994,E0,1993-08-17,1994_E0,Everton,Man City,1.0,0.0,H
1994,E0,1993-08-17,1994_E0,Ipswich,Southampton,1.0,0.0,H
1994,E0,1993-08-18,1994_E0,Blackburn,Norwich,2.0,3.0,A
1994,E0,1993-08-18,1994_E0,Coventry,Newcastle,2.0,1.0,H
1994,E0,1993-08-18,1994_E0,Man United,Sheffield United,3.0,0.0,H
1994,E0,1993-08-18,1994_E0,QPR,Liverpool,1.0,3.0,A
1994,E0,1993-08-18,1994_E0,Sheffield Weds,Aston Villa,0.0,0.0,D
1994,E0,1993-08-18,1994_E0,Swindon,Oldham,0.0,1.0,A
1994,E0,1993-08-21,1994_E0,Sheffield Weds,Arsenal,0.0,1.0,A
1994,E0,1993-08-21,1994_E0,Wimbledon,Aston Villa,2.0,2.0,D
1994,E0,1993-08-21,1994_E0,Tottenham,Man City,1.0,0.0,H
1994,E0,1993-08-21,1994_E0,Man United,Newcastle,1.0,1.0,D
1994,E0,1993-08-21,1994_E0,QPR,Southampton,2.0,1.0,H
1994,E0,1993-08-21,1994_E0,Ipswich,Chelsea,1.0,0.0,H
1994,E0,1993-08-21,1994_E0,Everton,Sheffield United,4.0,2.0,H
1994,E0,1993-08-21,1994_E0,Coventry,West Ham,1.0,1.0,D
1994,E0,1993-08-21,1994_E0,Blackburn,Oldham,1.0,0.0,H
1994,E0,1993-08-21,1994_E0,Leeds,Norwich,0.0,4.0,A
1994,E0,1993-08-22,1994_E0,Swindon,Liverpool,0.0,5.0,A
1994,E0,1993-08-23,1994_E0,Aston Villa,Man United,1.0,2.0,A
1994,E0,1993-08-24,1994_E0,Arsenal,Leeds,2.0,1.0,H
1994,E0,1993-08-24,1994_E0,Man City,Blackburn,0.0,2.0,A
1994,E0,1993-08-24,1994_E0,Oldham,Coventry,3.0,3.0,D
1994,E0,1993-08-24,1994_E0,Sheffield United,Wimbledon,2.0,1.0,H
1994,E0,1993-08-25,1994_E0,West Ham,Sheffield Weds,2.0,0.0,H
1994,E0,1993-08-25,1994_E0,Southampton,Swindon,5.0,1.0,H
1994,E0,1993-08-25,1994_E0,Norwich,Ipswich,1.0,0.0,H
1994,E0,1993-08-25,1994_E0,Liverpool,Tottenham,1.0,2.0,A
1994,E0,1993-08-25,1994_E0,Chelsea,QPR,2.0,0.0,H
1994,E0,1993-08-25,1994_E0,Newcastle,Everton,1.0,0.0,H
1994,E0,1993-08-27,1994_E0,Man City,Coventry,1.0,1.0,D
1994,E0,1993-08-28,1994_E0,Arsenal,Everton,2.0,0.0,H
1994,E0,1993-08-28,1994_E0,Aston Villa,Tottenham,1.0,0.0,H
1994,E0,1993-08-28,1994_E0,Chelsea,Sheffield Weds,1.0,1.0,D
1994,E0,1993-08-28,1994_E0,Liverpool,Leeds,2.0,0.0,H
1994,E0,1993-08-28,1994_E0,Norwich,Swindon,0.0,0.0,D
1994,E0,1993-08-28,1994_E0,Oldham,Wimbledon,1.0,1.0,D
1994,E0,1993-08-28,1994_E0,Sheffield United,Ipswich,1.0,1.0,D
1994,E0,1993-08-28,1994_E0,Southampton,Man United,1.0,3.0,A
1994,E0,1993-08-28,1994_E0,West Ham,QPR,0.0,4.0,A
